EnsemblID,p22074-s001_Cont1_S141.unstranded_count,p22074-s002_Cont2_S142.unstranded_count,p22074-s003_Cont3_S143.unstranded_count,p22074-s004_FAC1_S144.unstranded_count,p22074-s005_FAC2_S145.unstranded_count,p22074-s006_FAC3_S146.unstranded_count,p22074-s007_LiproxposFAC1_S147.unstranded_count,p22074-s008_LiproxposFAC2_S148.unstranded_count,p22074-s009_LiproxposFAC3_S149.unstranded_count,p22074-s010_MTposFAC1_S150.unstranded_count,p22074-s011_MTposFAC2_S151.unstranded_count,p22074-s012_MTposFAC3_S152.unstranded_count
ENSMUSG00000104226,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103903,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103557,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025909,1,0,0,0,0,0,0,0,3,0,1,0
ENSMUSG00000102647,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086235,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102253,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000093970,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103884,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000084353,0,0,2,10,0,3,1,0,2,0,0,1
ENSMUSG00000103933,0,1,2,1,0,0,1,0,1,1,0,0
ENSMUSG00000076135,0,1,1,4,0,0,1,1,1,0,1,2
ENSMUSG00000086195,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104504,0,0,0,0,0,0,0,2,0,0,0,0
ENSMUSG00000066693,3,1,7,2,0,3,2,1,0,3,1,1
ENSMUSG00000102316,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103819,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102871,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101571,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104428,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102272,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000065625,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103411,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000061024,1284,1428,1231,1774,253,1402,1812,1747,1524,1927,1975,1437
ENSMUSG00000025911,391,398,395,268,56,269,472,521,375,469,529,371
ENSMUSG00000079671,21,19,27,14,3,11,26,15,14,26,30,23
ENSMUSG00000081441,1,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000067879,10,15,12,5,0,2,10,8,6,5,5,6
ENSMUSG00000099827,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025912,36,31,37,45,4,30,19,9,32,29,23,27
ENSMUSG00000045210,1710,2000,1639,2628,361,1889,2544,2285,2358,2618,2756,1986
ENSMUSG00000097893,5,12,7,11,2,7,11,11,8,12,13,5
ENSMUSG00000025915,390,449,446,522,74,468,673,714,582,706,635,519
ENSMUSG00000046334,0,0,0,2,0,0,0,0,0,0,0,1
ENSMUSG00000088916,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046101,0,2,0,2,0,1,2,11,2,13,3,1
ENSMUSG00000098234,270,230,347,329,37,377,223,199,174,216,221,128
ENSMUSG00000093178,0,0,1,0,1,2,0,1,2,1,0,0
ENSMUSG00000099032,1111,995,1156,1318,203,1267,847,968,765,965,1026,717
ENSMUSG00000104025,3,1,3,0,1,10,0,2,1,1,1,0
ENSMUSG00000025916,223,161,167,184,28,148,108,115,82,77,131,84
ENSMUSG00000087199,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000095780,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025917,3265,3523,3525,3223,470,3178,3541,3441,3102,3972,4114,3100
ENSMUSG00000056763,525,535,505,759,116,548,560,552,493,586,596,471
ENSMUSG00000102356,0,0,4,0,0,0,0,0,0,2,0,1
ENSMUSG00000067851,2183,2791,1952,3246,431,2717,3008,3118,2844,3287,3216,2286
ENSMUSG00000088153,0,0,0,0,0,1,0,0,0,0,1,0
ENSMUSG00000102556,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000042501,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103810,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000083422,0,0,1,0,0,0,0,0,0,1,0,0
ENSMUSG00000094979,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000081417,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103448,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100212,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100648,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088585,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048960,3,0,7,6,1,6,9,7,23,5,15,1
ENSMUSG00000077318,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101827,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103494,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000057715,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103825,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099845,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103561,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101610,2,1,6,2,1,2,2,0,0,5,2,0
ENSMUSG00000093864,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098555,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097628,2,0,0,1,1,2,0,3,1,2,1,1
ENSMUSG00000098163,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097171,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101314,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000016918,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025938,0,1,0,0,0,2,2,0,2,0,2,0
ENSMUSG00000104518,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000069620,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099498,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000042414,1,0,0,1,0,5,1,0,3,1,0,2
ENSMUSG00000005886,1107,1139,848,1689,263,1209,1119,1261,1053,1466,1293,957
ENSMUSG00000103506,0,2,3,2,0,3,3,3,2,0,9,3
