Name	Description	p22074.s001	p22074.s002	p22074.s003	p22074.s004	p22074.s005	p22074.s006	p22074.s007	p22074.s008	p22074.s009	p22074.s010	p22074.s011	p22074.s012
Xkr4	na	2.8706826869216093	2.9637543701895206	3.0338069986264373	2.8408357395678783	2.8983271479373283	2.807728507228549	3.006394268045325	3.0035980983567288	2.850394163918138	3.1332697785109693	3.0904282916909547	3.1187882235239903
Gm19938	na	0.10950225503674203	0.10877019084606603	0.10898163028356483	0.12663208688618524	0.131119851813844	0.10920074960763371	0.16128063985450755	0.17731623061710564	0.1680485775019102	0.10775475869687044	0.17100859921345934	0.10962014064051843
Sox17	na	2.6464530100564887	2.6362705384087883	2.8035366499635668	2.7765840956628614	2.814560431400438	2.6623736372127618	2.724561354852237	2.756085874503098	2.6248606239296226	2.6718346271318634	2.7685968378966566	2.823440503497567
Gm6085	na	0.9653706343593284	0.9622874339221685	1.0002885202205132	1.0317101874718397	0.971777922018009	1.020710246439245	1.0142051935938399	0.9611965064576615	1.0045057715289116	0.9895622323358496	0.974740411860066	0.9452661643674936
Gm6123	na	4.368526326233949	3.9408115489815927	4.2310257641780264	4.51174877612785	4.2610564485250855	4.185205171003049	4.169292844495802	3.984072463389468	4.21338671437234	4.198743721412129	4.007523624678901	4.158657494304053
Mrpl15	na	10.270587826812728	10.201718555514246	10.252917666787601	10.050112684635085	10.110357884245882	10.143172675538688	10.217241751849576	10.152819256321347	10.139000796715278	10.151880526150968	10.220970002323698	10.172542166956784
Lypla1	na	10.472633614340504	10.312852656950582	10.61468466958932	10.218552295108559	10.156646227987835	10.247068761433919	10.507590781857333	10.541882871018972	10.180343640749799	10.212438178347684	10.037107932402494	10.549820005673423
Tcea1	na	10.054519505577943	9.935702625515276	10.022518448823783	10.027595433982716	10.033598841463853	10.006559886443231	9.947017776294155	10.138724964861082	9.9626174554457	9.92962373335753	9.849585225993168	10.083050660904544
Gm6104	na	2.376247460987979	2.328906368501371	2.4012268434639297	2.4258254686977434	2.3185837035532724	2.3530170389479124	2.291609246436291	2.3253895406251877	2.393749038035405	2.3747805732963685	2.377527487159123	2.414845970137489
Atp6v1h	na	11.971554980119235	11.926865446136944	11.841290213265319	12.211628888458884	12.222987390058817	12.181417470386663	12.109751752998337	12.14659242876115	12.215608476449153	11.920816948891355	12.011412917552418	11.93575326941459
Rb1cc1	na	10.816813561348214	10.843299998927199	10.745661691632005	10.950509141902977	10.975163420438056	10.809955546584046	11.194003278042246	11.175935163368798	11.142096801138248	11.014890136741394	11.025229275411872	11.020569377997745
X4732440D04Rik	na	4.711398294172088	4.985860759570035	4.957351371732939	4.76437486961969	5.016789040137773	4.8504859008164125	4.872840816259939	4.806792518971972	4.992115279173349	5.1120103390587515	5.140262555410575	4.792694721173825
Gm2147	na	2.503296791740061	2.570140812013218	2.4976393933799743	2.7897326709584704	2.6355426874323875	2.6156004239727286	2.584385814317403	2.529453840151409	2.6217578788125824	2.5659629057976145	2.58454267557237	2.5866171827038564
Gm19026	na	0.23215222617850076	0.23133869157499312	0.28739608720922555	0.30192731318569416	0.2544489979325667	0.2318172370071835	0.2311520556540265	0.23105114601102844	0.2912614566631191	0.292848008045868	0.23035008204776236	0.27281681522814366
Pcmtd1	na	10.267815475409147	10.181294012509717	10.241648343234376	10.112267635653453	10.005878513902656	10.022112900568382	10.450528794620281	10.361908166191405	10.235397843070297	10.332132108439675	10.149490748622895	10.432296870501512
Gm38372	na	0.5936004649004214	0.5925186839147814	0.6121069092348708	0.7310669966470092	0.6180265962503952	0.593155199354271	0.680797550204858	0.61029085093809	0.6536145383099767	0.5910143793409067	0.6078507371570432	0.6349406270785732
Gm9826	na	4.572786181047255	4.531720027446896	4.767797895009862	5.067431213283851	4.716855875491013	4.6506730575958946	4.5221699239242135	4.503538088186141	4.415053823730181	4.509703977797378	4.493020185851874	4.564571197756926
Gm26901	na	1.6987629174296819	1.7245823652206316	1.6367969474529713	1.6349930617880983	1.6571426437561967	1.783732937542621	1.687950004414034	1.669638969028277	1.6394024240160248	1.693023226177748	1.6948258012236344	1.7193956528345797
Gm15452	na	0.4570043744366158	0.4560063795870836	0.49474677882703416	0.6274799131513068	0.48086807697156164	0.5152414880812523	0.47428320052159295	0.45565321471086545	0.4976871887543865	0.45461795264474203	0.45479123086053674	0.4781073098345841
Gm7493	na	0.8527616230786635	0.8101612560256731	0.9189076709869075	0.8277097223017241	0.8183342039269902	0.8501801427257946	0.8274256790005202	0.8091118023329225	0.7926489339172492	0.8377462782742322	0.8065502052702624	0.8136038634433106
Rrs1	na	10.305045808188403	10.289743962521475	10.186817926005068	10.473134334424278	10.424687221234237	10.340554027228501	10.485858531630543	10.436061124158837	10.460058331262188	10.39758871870945	10.443444997647157	10.428144474219284
Adhfe1	na	8.481372143158291	8.390334329188505	8.415045728972872	8.046546973712841	8.328215140587654	8.125497007907805	8.513835511118256	8.58774206990675	8.439779848105262	8.373128061686899	8.49926116466249	8.452168127213548
X2610203C22Rik	na	4.141395310063373	4.077595817855841	4.19665600556493	3.999409049792289	4.090562948917328	3.9727841187169077	4.162593553594059	4.008680296799456	4.031894673443191	4.114665451516946	4.168134040020752	4.176305904888337
Vxn	na	2.6866944611742047	2.7443753536820723	2.70535211655676	2.582704934006807	2.5684305878088174	2.5356799499669593	2.663458769745951	2.629645139437562	2.6147671911433523	2.5678562292748652	2.569971949881974	2.617598543034977
